JSD(fly, letieť) = 0.843513, distance = 0.918430
JSD(walk, ísť) = 0.833333, distance = 0.912871
JSD(come, prísť) = 0.884615, distance = 0.940540
JSD(lie, ležať) = 0.648565, distance = 0.805335
JSD(sit, sedieť) = 0.725488, distance = 0.851756
JSD(stand, stáť) = 0.562796, distance = 0.750197
JSD(turn, obrátiť) = 0.736128, distance = 0.857979
JSD(fall, padať) = 0.793898, distance = 0.891010
JSD(give, dať) = 0.928571, distance = 0.963624
JSD(hold, držať) = 0.781971, distance = 0.884291
JSD(squeeze, stlačiť) = 0.844764, distance = 0.919111
JSD(rub, trieť) = 0.824213, distance = 0.907862
JSD(wash, umyť) = 0.944444, distance = 0.971825
JSD(wipe, utrieť) = 0.756249, distance = 0.869626
JSD(pull, ťahať) = 0.884615, distance = 0.940540
JSD(push, tlačiť) = 0.900000, distance = 0.948683
JSD(throw, hodiť) = 0.753985, distance = 0.868323
JSD(tie, viazať) = 0.843513, distance = 0.918430
JSD(sew, šiť) = 0.833333, distance = 0.912871
JSD(count, počítať) = 0.720082, distance = 0.848576
JSD(say, povedať) = 0.858496, distance = 0.926551
JSD(sing, spievať) = 0.777594, distance = 0.881813
JSD(play, hrať) = 0.818895, distance = 0.904928
JSD(float, plávať) = 0.730323, distance = 0.854589
JSD(flow, tiecť) = 0.954545, distance = 0.977008
JSD(freeze, mrznúť) = 0.745125, distance = 0.863206
JSD(swell, puchnúť) = 0.911765, distance = 0.954864
JSD(sun, slnko) = 0.707467, distance = 0.841110
JSD(moon, mesiac) = 0.887315, distance = 0.941974
JSD(star, hviezda) = 0.897355, distance = 0.947288
JSD(water, voda) = 0.874451, distance = 0.935121
JSD(rain, dážď) = 0.807692, distance = 0.898717
JSD(river, rieka) = 0.513617, distance = 0.716671
JSD(lake, jazero) = 0.774631, distance = 0.880131
JSD(sea, more) = 0.832022, distance = 0.912153
JSD(salt, soľ) = 0.785714, distance = 0.886405
JSD(stone, kameň) = 0.854265, distance = 0.924265
JSD(sand, piesok) = 0.887315, distance = 0.941974
JSD(dust, prach) = 1.000000, distance = 1.000000
JSD(earth, zem) = 0.853733, distance = 0.923977
JSD(cloud, oblak) = 0.777778, distance = 0.881917
JSD(fog, hmla) = 1.000000, distance = 1.000000
JSD(sky, obloha) = 1.000000, distance = 1.000000
JSD(wind, vietor) = 0.887315, distance = 0.941974
JSD(snow, sneh) = 0.571429, distance = 0.755929
JSD(ice, ľad) = 0.857143, distance = 0.925820
JSD(smoke, dym) = 0.853733, distance = 0.923977
JSD(fire, oheň) = 0.818895, distance = 0.904928
JSD(ash, popol) = 1.000000, distance = 1.000000
JSD(burn, horieť) = 0.858894, distance = 0.926765
JSD(road, cesta) = 0.874451, distance = 0.935121
JSD(mountain, hora) = 0.810927, distance = 0.900515
JSD(red, červený) = 0.660666, distance = 0.812814
JSD(green, zelený) = 0.594488, distance = 0.771030
JSD(yellow, žltý) = 0.738414, distance = 0.859310
JSD(white, biely) = 0.777778, distance = 0.881917
JSD(black, čierny) = 0.923077, distance = 0.960769
JSD(night, noc) = 0.853733, distance = 0.923977
JSD(day, deň) = 0.760594, distance = 0.872120
JSD(year, rok) = 0.832022, distance = 0.912153
